Title,Publisher(s),FPS Boost,Date added,Notes,Ref(s)
Advent Rising,Ziggurat Interactive,,"November 15, 2021",,
Armed and Dangerous,LucasArts,,"June 10, 2019",Includes all DLC.,
Battlefield 2: Modern Combat,Electronic Arts,,"June 10, 2019",Disc required,
Black,Electronic Arts,,"October 24, 2017",Available in The Play List on EA Play.,
Blinx: The Time Sweeper,Microsoft Studios,,"April 17, 2018",,
BloodRayne 2,Majesco Entertainment,,"October 24, 2017",Also available as a remastered version for Xbox One and Series X/S.,
Breakdown,Bandai Namco Entertainment,,"April 17, 2018",,
Chicken Little,Disney Interactive Studios,,"November 15, 2021",,
Conker: Live & Reloaded,Microsoft Studios,,"April 17, 2018",,
Crimson Skies: High Road to Revenge,Microsoft Studios,,"October 24, 2017",,
Dead or Alive 3,Tecmo,,"November 15, 2021","The European and Japanese versions, which features more content, can be downloaded from Microsoft Store on American platforms by purchasing the game in Microsoft Store first, then changing the region in the Xbox settings to either United Kingdom or Japan, and restarting the console before downloading. The console can be switched back to the American region after the download is complete.",
Dead or Alive Ultimate,Tecmo,,"November 15, 2021","Listed and considered as two separate games in Microsoft Store: ""Dead or Alive 1 Ultimate"" and ""Dead or Alive 2 Ultimate"" and will appear as separate in player's library. Searching ""Dead or Alive Ultimate"" will return no results in store. Owning a copy of Dead or Alive 3 makes the character, Hitomi, playable in Dead or Alive 2 Ultimate.",
Dead to Rights,Bandai Namco Entertainment,,"October 24, 2017",Digital version can only be bought in US Store. Other regions have to use a physical disc to play the game or change console to USA region and purchase with USA gift cards,
Destroy All Humans!,THQ Nordic,,"April 26, 2018",,
The Elder Scrolls III: Morrowind,Bethesda Softworks,,"April 17, 2018",Also available via Game Pass. Includes Tribunal and Bloodmoon expansions.,
Full Spectrum Warrior,THQ Nordic,,"April 26, 2018",,
Fuzion Frenzy,Microsoft Studios,,"October 24, 2017",Also available via Game Pass.,
Gladius,LucasArts,,"November 15, 2021",,
Grabbed by the Ghoulies,Microsoft Studios,,"October 24, 2017",Also included in Rare Replay.,
Grand Theft Auto: San Andreas,Rockstar Games,,"June 7, 2018","Not actually backwards compatible: putting the disc in downloads the 360 version, based on the mobile port.",
Gunvalkyrie,Sega,,"November 15, 2021",,
Hunter: The Reckoning,Interplay Entertainment,,"April 17, 2018",At least some disc versions aren't backwards compatible. No comments from Microsoft on this issue.,
Indiana Jones and the Emperor's Tomb,LucasArts,,"June 10, 2019",,
Jade Empire,Microsoft Studios,,"April 17, 2018",Runs at 60 FPS. Includes an extra character model from the Limited Edition of the game.,
The King of Fighters Neowave,SNK,,"October 24, 2017",Digital version can only be bought in US Store. Other regions have to use a physical disc to play the game or change console to USA region and purchase with USA gift cards.,
Manhunt,Rockstar Games,,"November 15, 2021",,
Max Payne,Rockstar Games,,"November 15, 2021",,
Max Payne 2: The Fall of Max Payne,Rockstar Games,,"November 15, 2021",,
Mercenaries: Playground of Destruction,LucasArts,,"April 26, 2018",,
MX Unleashed,THQ Nordic,,"April 26, 2018",,
Ninja Gaiden Black,Tecmo,,"October 24, 2017",Original Ninja Gaiden Disc is not compatible.,
Oddworld: Munch's Oddysee,Xbox Game Studios,,"November 15, 2021",,
Otogi: Myth of Demons,Sega,,"November 15, 2021",,
Otogi 2: Immortal Warriors,Sega,,"November 15, 2021",,
Panzer Dragoon Orta,Sega,,"April 17, 2018",,
Panzer Elite Action: Fields of Glory,JoWooD Productions,,"April 26, 2018",Europe only; not released in North America. Can be bought if console region changed in settings and gift cards for region purchased online.,
Prince of Persia: The Sands of Time,Ubisoft,,"October 24, 2017",,
Psychonauts,Double Fine Productions,,"October 24, 2017",Also available via Game Pass.,
Red Dead Revolver,Rockstar Games,,"November 15, 2021",,
Red Faction II,THQ Nordic,,"October 24, 2017",,
Secret Weapons Over Normandy,LucasArts,,"November 15, 2021",,
Sid Meier's Pirates!,2K Games,,"October 24, 2017",,
Sphinx and the Cursed Mummy,THQ Nordic,,"June 10, 2019",,
SSX 3,Electronic Arts,,"April 17, 2018",,
Star Wars: Battlefront,LucasArts,,"April 26, 2018",Includes all DLC.,
Star Wars: Battlefront II,LucasArts,,"April 26, 2018",Includes all DLC.,
Star Wars: The Clone Wars,LucasArts,,"November 15, 2021",,
Star Wars: Episode III â€“ Revenge of the Sith,LucasArts,,"November 15, 2021",,
Star Wars Jedi Knight II: Jedi Outcast,LucasArts,,"November 15, 2021",,
Star Wars Jedi Knight: Jedi Academy,LucasArts,,"April 26, 2018",,[citation needed]
Star Wars: Jedi Starfighter,LucasArts,,"April 26, 2018",,
Star Wars: Knights of the Old Republic,LucasArts,,"October 24, 2017",Runs at 60 FPS. Includes all DLC.,
Star Wars Knights of the Old Republic II: The Sith Lords,LucasArts,,"April 26, 2018",Runs at 30 FPS. Severe audio glitches: soundtrack and combat music will cut out after a series of intermittent buzzing-like sounds usually in the menu screen. Severe framerate drops during combat. Player characters will freeze in place and phase ahead instead of walking/running. Save file corruption is also a distinct possibility. The game should be played exclusively on the original Xbox for an optimal experience.,
Star Wars: Republic Commando,LucasArts,,"April 26, 2018",Includes all DLC.,
Star Wars: Starfighter Special Edition,LucasArts,,"November 15, 2021",,
Thrillville,LucasArts,,"November 15, 2021",,
TimeSplitters 2,Deep Silver,,"November 15, 2021",,
TimeSplitters: Future Perfect,Deep Silver,,"November 15, 2021",,
Tom Clancy's Splinter Cell,Ubisoft,,"June 10, 2019",Includes all DLC.,
Tom Clancy's Splinter Cell: Chaos Theory,Ubisoft,,"June 10, 2019",Includes all DLC.,
Tom Clancy's Splinter Cell: Double Agent,Ubisoft,,"June 10, 2019",,
Tom Clancy's Splinter Cell: Pandora Tomorrow,Ubisoft,,"June 10, 2019",Includes all DLC.,
Unreal Championship 2: The Liandri Conflict,Epic Games,,"June 10, 2019",,
